sample.x	sample.y	jsd
B_diarrhea_044	A_diarrhea_020	0.890311414902809
B_diarrhea_045	A_diarrhea_020	0.913712103131299
B_diarrhea_046	A_diarrhea_020	0.903239924370193
B_diarrhea_047	A_diarrhea_020	0.953178344521494
B_diarrhea_048	A_diarrhea_020	0.931020789837018
B_diarrhea_052	A_diarrhea_020	0.880435690699134
B_diarrhea_053	A_diarrhea_020	0.885694561837883
B_diarrhea_054	A_diarrhea_020	0.821645295030465
B_diarrhea_055	A_diarrhea_020	0.858404698676266
B_diarrhea_056	A_diarrhea_020	0.135977266951404
B_diarrhea_end	A_diarrhea_020	0.871293659107107
B_recovery_d004	A_diarrhea_020	0.908000724315702
B_recovery_d005	A_diarrhea_020	0.912876724329587
B_recovery_d006	A_diarrhea_020	0.903309002231098
B_recovery_d007	A_diarrhea_020	0.925922134266779
B_recovery_d008	A_diarrhea_020	0.924755777466266
B_recovery_d009	A_diarrhea_020	0.949531027891623
B_recovery_d010	A_diarrhea_020	0.970894130955347
B_recovery_d013	A_diarrhea_020	0.938837913238865
B_recovery_d015	A_diarrhea_020	0.911513037885254
B_recovery_d017	A_diarrhea_020	0.975207063085905
B_recovery_d025	A_diarrhea_020	0.980700562812095
B_recovery_d031	A_diarrhea_020	0.978210383515698
B_recovery_d037	A_diarrhea_020	0.974973452072307
B_recovery_d045	A_diarrhea_020	0.924379986388963
B_recovery_d052	A_diarrhea_020	0.948303682379066
B_recovery_d088	A_diarrhea_020	0.976399384437777
C_diarrhea_011	A_diarrhea_020	0.126163504497047
C_diarrhea_024	A_diarrhea_020	0.473897772519692
C_diarrhea_033	A_diarrhea_020	0.339847234269251
C_diarrhea_044	A_diarrhea_020	0.377290595968932
C_diarrhea_057	A_diarrhea_020	0.713628119095203
C_diarrhea_072	A_diarrhea_020	0.788123528030552
C_diarrhea_079	A_diarrhea_020	0.749418877483243
C_diarrhea_082	A_diarrhea_020	0.744229920553984
C_diarrhea_083	A_diarrhea_020	0.720473650757492
C_diarrhea_084	A_diarrhea_020	0.735311725142832
C_diarrhea_086	A_diarrhea_020	0.775076795851232
C_diarrhea_090	A_diarrhea_020	0.786810918359597
C_diarrhea_096	A_diarrhea_020	0.790270313578252
C_diarrhea_097	A_diarrhea_020	0.773838157711138
